Name,Company,LinkedIN
"Shri Vikas Rastogi,IAS",Government of Maharashtra,https://www.linkedin.com/in/vikas-rastogi-2b026242/?originalSubdomain=in
"Dr Pradeep Kumar,IFS",Government of Sikkim,https://www.linkedin.com/in/pradeep-kumar-a3572382/?originalSubdomain=in
"Dr Arundhathi Chandrasekhar , IAS",Government of Karnataka,na
"Shri Kshitij Saxena,IFS",Government of Sikkim,na
Shri Ganesh Shankar Mishra IAS,MP Power,na
"Shri Rajeev Kumar, IPS",Government of West Bengal,https://www.linkedin.com/in/rajeev-kumar-800b30237/?originalSubdomain=in
"Shri Kamal Preet Singh, IAS",Government of Chhattisgarh,na
"Shri M A Siddique, IAS",Chennai Metro Rail,na
"Shri Manas Kumar Panda, ITS",Odisha,na
"Smt. Sanghamitra Ghosh, IAS",Government of West Bengal,https://www.linkedin.com/in/sanghamitra-ghosh-4a983855/?originalSubdomain=in
R Gandhi,Reserve Bank of India (RBI),https://www.linkedin.com/in/gandhi-r-90a14017b/?originalSubdomain=in
"Shri Abhijeet Agarwal,IAS",Madhya Pradesh,https://www.linkedin.com/in/abhijeet-agrawal-49180128/?originalSubdomain=in
Shri Priyank Kharge,Government of Karnataka,https://www.linkedin.com/in/priyank-m-kharge-934490147/?originalSubdomain=in
